34,1607756
32,1402412
31,1504556
27,774636
32,906636
34,1649996
31,995436
30,571724
33,1497036
33,1650956
30,592332
33,1661516
30,915116
29,1091340
32,877932
30,1010892
30,1137324
33,1631436
26,732044
29,933164
29,433484
32,1366604
32,1675596
30,823020
28,1303052
33,1245900
31,1064492
32,1312364
32,1006764
33,1568684
30,937292
32,1424172
30,410316
31,1216044
31,778412
27,819692
33,1174700
32,1085516
33,1623852
29,453132
32,1355820
30,934860
28,864204
26,700620
30,443052
30,576620
29,653036
32,1539596
32,1027020
33,1615020
33,1434540
31,1543692
33,1377900
32,1290924
34,1616364
31,842252
28,360204
27,220140
33,1523724
31,600044
31,951500
30,1666796
33,1479404
32,1628364
29,1116972
34,1545420
31,1277516
26,202764
29,1202700
32,1361676
31,825036
33,1270380
33,1359884
32,1444236
27,862796
32,1631340
29,432972
34,1582220
31,1203404
28,298892
31,1021676
33,1351020
31,743084
30,678476
33,1492620
32,1185644
32,1178444
26,499596
33,1451372
28,566444
31,756492
30,605804
29,381260
31,1482380
33,1450380
32,1342476
31,1116492
33,1487372
33,1474892
32,923724
29,816524
31,1142412
33,1341036
24,321164
31,1437132
26,780044
29,747020
32,1256300
31,946412
28,559212
29,1221932
32,839276
34,1641420
33,1618412
29,497324
31,980204
29,1001676
29,1636076
31,1582604
30,711756
31,1193772
31,1288236
32,1593996
30,829260
31,1585772
31,784620
32,1074540
29,1379244
30,1509164
32,993324
33,1556876
32,1030956
30,1144844
33,1655340
30,935276
30,569900
32,1008492
19,20684
32,1169292
26,910284
32,1645484
31,1463372
33,1466252
24,703980
27,771564
30,913196
30,883916
32,1509164
30,940364
29,552716
33,1135340
31,1532556
29,462956
32,1346060
33,1439660
28,775596
31,1499244
32,1121964
32,1579500
31,577580
27,1327052
33,1576716
32,1357932
32,1180364
31,1143276
29,970892
30,707564
32,1322156
32,1147404
32,1395020
31,929804
28,1122284
32,912620
29,411756
31,1118924
33,1434924
28,252204
29,439212
27,753420
33,1380780
30,973004
32,1088684
32,1166540
29,1569324
32,1247244
33,1506444
33,1248972
30,1109484
32,1170924
31,1000044
32,1013004
29,669516
29,710156
32,972492
33,1575500
31,666060
31,815916
33,1371756
33,1434732
30,955916
31,1377804
32,1119884
32,1314636
30,814316
32,1648716
29,834060
30,1064556
28,1290924
32,984332
31,1438700
33,1655340
33,1662252
30,762572
32,1496492
33,1369580
29,487212
28,493100
31,705932
25,1607916
29,1284396
32,1088876
32,1152716
33,1421676
31,946412
24,361964
33,1562796
33,1505292
22,111500
32,1543916
32,1135692
29,748044
33,1443212
30,1151756
30,569196
32,1042284
30,1576556
26,411756
32,1426220
32,1426220
30,999980
32,895500
33,1342476
34,1650956
34,1608812
32,1441964
28,599916
30,665292
26,1351436
25,129516
30,590444
30,677772
31,708140
33,1374572
30,1235244
29,636684
33,1580844
32,1150220
28,1417740
33,1156364
26,508812
30,802476
31,1252940
32,1301964
32,1310732
28,686892
32,1293356
32,1458252
33,1535820
32,1349132
30,1119980
33,1557260
31,1019916
33,1512492
31,1406220
30,836300
33,1599852
32,1299596
27,1503500
29,1322156
33,1553324
34,1589964
27,496652
26,137580
31,1401356
32,883340
30,648140
30,852300
34,1512236
32,857996
32,982572
31,1476044
30,806220
33,1390892
31,712716
32,1211564
33,1602092
28,1221900
33,1431116
31,1669196
30,656780
33,1600076
24,274956
32,885036
32,1327724
26,849516
33,1428876
28,1616364
32,1215884
20,19692
31,790316
32,1126124
28,590892
34,1590572
33,1430924
33,1670156
31,1292492
32,1012460
33,1593740
33,1395020
31,1162380
31,1016012
33,1669004
30,1307340
29,362252
30,910892
23,585356
32,948236
33,1607916
31,1426476
29,1152012
33,1195340
31,772812
30,625676
31,654380
27,954060
30,1004684
32,1396812
31,615404
33,1116492
30,1596716
28,1016364
32,1375884
32,894476
32,1166604
33,1554060
32,1633164
31,1660620
32,1037100
31,1269900
28,533580
29,607916
30,989132
30,659276
31,922220
31,1144076
32,1489452
21,289932
32,829100
31,1475276
29,554412
33,1406924
33,1564364
30,427596
30,772812
32,1170060
33,1347980
30,889452
33,1644204
33,1261676
32,1586412
31,889292
32,1635212
33,1618956
32,1513676
24,156012
32,1344204
28,945260
24,176076
31,1050380
30,1038060
27,1385292
31,990860
24,758540
32,1412844
33,1270860
32,1571564
32,1126124
32,1663532
32,1665932
32,1049324
28,339564
27,277260
33,1556556
32,1582412
33,1468140
32,978444
29,425196
30,908492
29,426060
27,767724
30,1276332
33,1271244
31,923532
32,1427436
27,548876
31,1188716
32,1205292
30,1672716
26,1126316
24,874796
33,1525452
31,705644
32,1459212
30,692364
31,947372
30,1262252
33,1239852
30,589356
32,1245836
33,1641036
31,877292
30,1020204
31,775020
28,537836
32,1294892
33,1535372
24,282060
33,1453164
32,945260
31,1625004
23,532844
32,1304972
26,548396
27,521676
30,1670124
33,1162604
31,893196
33,1527404
27,293292
26,1291020
32,1021740
27,513452
33,1532396
33,1627884
33,1551852
28,287724
30,994124
30,955980
32,1352364
32,1145580
32,1618604
30,1641516
31,1104492
32,1524492
31,1446092
33,1361772
26,386732
30,1147436
32,1217676
32,1022892
31,1237644
32,868460
29,653612
32,1182060
31,1217612
29,572364
30,1572332
31,1561836
29,487500
27,283820
30,1084460
32,1177164
33,1527564
28,454892
28,808812
32,931052
32,1373132
31,1450892
32,1168332
33,1644780
31,722892
30,516044
31,595916
28,983820
32,1473356
31,898124
31,816716
31,880364
28,290124
32,776652
32,1549740
30,633036
31,852972
25,402380
32,1400172
31,1284396
17,10604
32,1310444
28,1437452
29,407180
31,730572
32,946700
33,1619276
32,1021836
31,1320012
33,1462604
29,1070060
32,1064684
31,762572
33,1402956
32,1339052
31,1354572
31,1616012
33,1461324
32,1141292
33,1546316
31,1527756
31,565004
30,1087116
32,841292
30,1075404
32,1434732
31,571724
29,443820
30,1593996
26,923180
27,590220
32,1033644
34,1627820
32,1245452
29,486476
31,899852
32,948236
33,1624236
33,1258476
32,948396
31,666284
32,1448556
29,813996
30,1006764
32,1418316
33,1429836
29,658124
30,1394156
31,1471244
31,1308396
33,1415916
32,963500
25,1068044
25,157644
30,1526156
28,398060
32,1209804
